Date,Weekday,Time,Currency,Importance,Event,Actual,Forecast,Previous
2022-01-01,星期六,02:00,USD,2,美国当周贝克休斯总钻井总数(口),586,,586
2022-01-01,星期六,02:00,USD,2,美国当周贝克休斯石油钻井总数(口),480,,480
2022-01-03,星期一,15:00,System,1,欧盘开盘,,,
2022-01-03,星期一,16:30,CHF,2,瑞士procure.ch PMI (十二月),62.7,61.0,62.5
2022-01-03,星期一,22:30,System,1,美盘开盘,,,
2022-01-03,星期一,23:00,USD,2,美国营建支出月率(%) (月度环比) (十一月),0.4%,0.6%,0.4%
2022-01-04,星期二,04:30,USD,2,美国商品期货交易委员会投机净仓位-原油,338.4K,,340.3K
2022-01-04,星期二,04:30,JPY,2,美国商品期货交易委员会投机净仓位-日元,-53.1K,,-53.1K
2022-01-04,星期二,04:30,USD,2,美国商品期货交易委员会投机净仓位-标普500,103.3K,,136.4K
2022-01-04,星期二,04:30,EUR,2,美国商品期货交易委员会投机净仓位-欧元,-6.6K,,-10.2K
2022-01-04,星期二,04:30,AUD,2,美国商品期货交易委员会投机净仓位-澳元,-81.7K,,-80.4K
2022-01-04,星期二,04:30,GBP,2,美国商品期货交易委员会投机净仓位-英镑,-50.7K,,-57.7K
2022-01-04,星期二,04:30,USD,2,美国商品期货交易委员会投机净仓位-黄金,213.2K,,205.8K
2022-01-04,星期二,12:30,CAD,2,Investing.com 美元/加元指数(%),40.8%,,37.5%
2022-01-04,星期二,15:00,EUR,2,德国实际零售销售月率(%) (月度环比) (十一月),0.6%,-0.5%,0.5%
2022-01-04,星期二,15:30,CHF,2,瑞士CPI月率(%) (月度环比) (十二月),-0.1%,-0.1%,0.3%
2022-01-04,星期二,15:45,EUR,2,法国CPI月率(%) (月度环比),0.2%,,0.4%
2022-01-04,星期二,15:45,EUR,2,法国调和CPI月率(%) (月度环比),0.2%,0.4%,0.4%
2022-01-04,星期二,16:55,EUR,2,德国季调后失业人数变动 (十二月),-23K,-15K,-34K
2022-01-04,星期二,16:55,EUR,2,德国季调后失业率 (十二月),5.2%,5.3%,5.3%
2022-01-04,星期二,21:30,CAD,2,加拿大原材料价格指数月率(%) (月度环比) (十一月),-1.0%,,4.8%
2022-01-04,星期二,22:30,System,1,美盘开盘,,,
2022-01-04,星期二,23:00,USD,3,美国ISM制造业PMI (十二月),58.7,60.0,61.1
2022-01-04,星期二,23:00,USD,3,美国JOLTS职位空缺 (十一月),10.562M,11.075M,11.091M
2022-01-04,星期二,23:00,USD,2,美国ISM制造业就业指数 (十二月),54.2,53.5,53.3
2022-01-04,星期二,23:00,USD,2,美国ISM制造业物价支付指数 (十二月),68.2,79.5,82.4
2022-01-04,星期二,23:00,USD,2,美国明尼阿波利斯联储主席卡什卡里(Neel Kashkari)讲话,,,
2022-01-05,星期三,05:30,USD,2,美国当周API原油库存变动(桶),-6.432M,-3.400M,-3.090M
2022-01-05,星期三,11:35,JPY,2,日本10年期国债拍卖收益率(%),0.096%,,0.060%
2022-01-05,星期三,15:00,System,1,欧盘开盘,,,
2022-01-05,星期三,18:30,EUR,2,德国10年期Bund国债拍卖,-0.090%,,-0.380%
2022-01-05,星期三,21:15,USD,3,美国ADP就业人数 (十二月),807K,400K,505K
2022-01-05,星期三,21:30,CAD,2,加拿大新屋价格指数月率(%) (月度环比) (十一月),0.8%,0.7%,0.9%
2022-01-05,星期三,21:30,CAD,2,加拿大营建许可月率(%) (月度环比) (十一月),6.8%,2.3%,2.4%
2022-01-05,星期三,22:30,System,1,美盘开盘,,,
2022-01-05,星期三,23:30,USD,3,美国当周EIA原油库存变动(桶),-2.144M,-3.283M,-3.576M
2022-01-05,星期三,23:30,USD,2,美国当周EIA库欣原油库存变动(桶),2.577M,,1.055M
2022-01-06,星期四,03:00,USD,3,美联储FOMC货币政策会议纪要,,,
2022-01-06,星期四,15:00,EUR,2,德国季调后制造业订单月率(%) (月度环比) (十一月),3.7%,2.1%,-5.8%
2022-01-06,星期四,21:00,EUR,3,德国CPI月率(%) (月度环比) (十二月),0.5%,0.4%,-0.2%
2022-01-06,星期四,21:00,EUR,2,德国CPI年率(%) (同比) (十二月),5.3%,5.1%,5.2%
2022-01-06,星期四,21:30,USD,3,美国初请失业金人数,207K,197K,200K
2022-01-06,星期四,21:30,CAD,2,加拿大贸易帐(加元) (十一月),3.13B,2.03B,2.26B
2022-01-06,星期四,21:30,USD,2,美国出口月率(%),224.20B,,223.60B
2022-01-06,星期四,21:30,USD,2,美国续请失业金人数,"1,754K","1,688K","1,718K"
2022-01-06,星期四,21:30,USD,2,美国贸易帐(美元) (十一月),-80.20B,-77.10B,-67.20B
2022-01-06,星期四,21:30,USD,2,美国进口月率(%),304.40B,,290.70B
2022-01-06,星期四,22:00,EUR,2,欧洲央行执委施纳贝尔(Isabel Schnabel)讲话,,,
2022-01-06,星期四,22:30,System,1,美盘开盘,,,
2022-01-06,星期四,23:00,USD,3,美国ISM非制造业PMI (十二月),62.0,66.9,69.1
2022-01-06,星期四,23:00,USD,2,美国ISM非制造业就业指数 (十二月),54.9,,56.5
2022-01-06,星期四,23:00,USD,2,美国ISM非制造业物价指数 (十二月),82.5,,82.3
2022-01-06,星期四,23:00,USD,2,美国工厂订单月率(%) (月度环比) (十一月),1.6%,1.5%,1.2%
2022-01-07,星期五,07:30,JPY,2,日本东京核心消费价格指数(CPI)年率(%) (同比) (十二月),0.5%,0.5%,0.3%
2022-01-07,星期五,07:30,JPY,2,日本家庭户均消费支出年率(%) (同比) (十一月),-1.3%,1.6%,-0.6%
2022-01-07,星期五,07:30,JPY,2,日本所有家庭支出月率(%) (月度环比) (十一月),-1.2%,1.2%,3.4%
2022-01-07,星期五,15:00,EUR,2,德国季调后工业产出月率(%) (月度环比) (十一月),-0.2%,1.0%,2.4%
2022-01-07,星期五,15:00,EUR,2,德国贸易帐(欧元) (十一月),10.9B,12.8B,12.4B
2022-01-07,星期五,15:00,GBP,2,英国Halifax季调后房价指数年率(%) (同比),9.8%,,8.2%
2022-01-07,星期五,15:45,EUR,2,法国家庭消费支出月率(%) (月度环比) (十一月),0.8%,0.5%,-0.6%
2022-01-07,星期五,16:05,CNY,2,中国外汇储备(美元) (十二月),3.250T,3.233T,3.222T
2022-01-07,星期五,18:00,EUR,3,欧元区CPI年率(%) (同比) (十二月),5.0%,4.7%,4.9%
2022-01-07,星期五,18:00,EUR,2,欧元区CPI月率(%) (月度环比) (十二月),0.4%,,0.4%
2022-01-07,星期五,18:00,EUR,2,欧元区未季调核心CPI年率 (同比) (十一月),2.6%,2.5%,2.6%
2022-01-07,星期五,21:30,USD,3,美国失业率 (十二月),3.9%,4.1%,4.2%
2022-01-07,星期五,21:30,USD,3,美国季调后非农就业人口变动 (十二月),199K,400K,249K
2022-01-07,星期五,21:30,USD,3,美国平均每小时工资月率(%) (月度环比) (十二月),0.6%,0.4%,0.4%
2022-01-07,星期五,21:30,CAD,2,加拿大失业率 (十二月),5.9%,6.0%,6.0%
2022-01-07,星期五,21:30,CAD,2,加拿大就业人数变动(人) (十二月),54.7K,27.5K,153.7K
2022-01-07,星期五,21:30,USD,2,美国U6失业率(%) (十二月),7.3%,,7.7%
2022-01-07,星期五,21:30,USD,2,美国劳动参与率 (十二月),61.9%,,61.9%
2022-01-07,星期五,21:30,USD,2,美国平均时薪年率(%) (同比) (十二月),4.7%,4.2%,5.1%
2022-01-07,星期五,21:30,USD,2,美国私营企业非农就业人数变动 (十二月),211K,365K,270K
2022-01-07,星期五,22:30,System,1,美盘开盘,,,
2022-01-07,星期五,23:00,CAD,2,加拿大IVEY季调后PMI (十二月),45.0,,61.2
2022-01-07,星期五,23:00,USD,2,美国FOMC委员戴利(Daly)讲话,,,
2022-01-08,星期六,01:15,USD,2,美国亚特兰大联储主席、2018年FOMC票委博斯蒂克(Raphael Bostic)讲话,,,
2022-01-08,星期六,02:00,USD,2,美国当周贝克休斯总钻井总数(口),588,,586
2022-01-08,星期六,02:00,USD,2,美国当周贝克休斯石油钻井总数(口),481,,480
2022-01-08,星期六,04:30,USD,2,美国商品期货交易委员会投机净仓位-原油,332.8K,,338.4K
2022-01-08,星期六,04:30,JPY,2,美国商品期货交易委员会投机净仓位-日元,-62.3K,,-53.1K
2022-01-08,星期六,04:30,USD,2,美国商品期货交易委员会投机净仓位-标普500,109.0K,,103.3K
2022-01-08,星期六,04:30,EUR,2,美国商品期货交易委员会投机净仓位-欧元,-1.6K,,-6.6K
2022-01-08,星期六,04:30,AUD,2,美国商品期货交易委员会投机净仓位-澳元,-89.4K,,-81.7K
2022-01-08,星期六,04:30,GBP,2,美国商品期货交易委员会投机净仓位-英镑,-39.2K,,-50.7K
2022-01-08,星期六,04:30,USD,2,美国商品期货交易委员会投机净仓位-黄金,211.4K,,213.2K
