Date,Weekday,Time,Currency,Importance,Event,Actual,Forecast,Previous,Zone,SourceURL,ExtractionTimestamp,MatchedKeywords,FilterReason
2025-05-02,星期五,09:30,AUD,2,澳大利亚PPI季率(%) (季度环比) (第一季度),0.9%,0.8%,0.8%,,,,,
2025-05-02,星期五,09:30,AUD,2,澳大利亚PPI年率(%) (同比) (第一季度),3.7%,,3.7%,,,,,
2025-05-02,星期五,09:30,AUD,2,澳大利亚零售销售月率(%) (月度环比) (三月),0.3%,0.4%,0.2%,,,,,
2025-05-02,星期五,14:00,System,1,欧盘开盘,,,,Asia/Shanghai,,2025-05-03T05:04:51.979767+00:00,,Market Open Added
2025-05-02,星期五,15:15,EUR,2,西班牙Markit制造业PMI (四月),,50.0,49.5,,,,,
2025-05-02,星期五,15:30,CHF,2,瑞士procure.ch PMI (四月),,48.7,48.9,,,,,
2025-05-02,星期五,15:45,EUR,2,意大利Markit制造业PMI (四月),,47.1,46.6,,,,,
2025-05-02,星期五,15:50,EUR,2,法国制造业PMI (四月),,48.2,48.5,,,,,
2025-05-02,星期五,15:55,EUR,2,德国制造业PMI月率(%) (四月),,48.0,48.3,,,,,
2025-05-02,星期五,16:00,EUR,2,欧元区Markit制造业PMI (四月),,48.7,48.6,,,,,
2025-05-02,星期五,16:00,EUR,2,欧央行经济报告,,,,,,,,
2025-05-02,星期五,17:00,EUR,3,欧元区CPI年率(%) (同比) (四月),,2.1%,2.2%,,,,,
2025-05-02,星期五,17:00,EUR,2,欧元区CPI月率(%) (月度环比) (四月),,,0.6%,,,,,
2025-05-02,星期五,17:00,EUR,2,欧元区失业率 (三月),,6.1%,6.1%,,,,,
2025-05-02,星期五,17:00,EUR,2,欧元区未季调核心CPI年率 (同比) (四月),,2.5%,2.4%,,,,,
2025-05-02,星期五,20:30,USD,3,美国失业率 (四月),,4.2%,4.2%,,,,,
2025-05-02,星期五,20:30,USD,3,美国季调后非农就业人口变动 (四月),,133K,228K,,,,,
2025-05-02,星期五,20:30,USD,3,美国平均每小时工资月率(%) (月度环比) (四月),,0.3%,0.3%,,,,,
2025-05-02,星期五,20:30,USD,2,美国U6失业率(%) (四月),,,7.9%,,,,,
2025-05-02,星期五,20:30,USD,2,美国劳动参与率 (四月),,,62.5%,,,,,
2025-05-02,星期五,20:30,USD,2,美国平均时薪年率(%) (同比) (四月),,3.9%,3.8%,,,,,
2025-05-02,星期五,20:30,USD,2,美国私营企业非农就业人数变动 (四月),,124K,209K,,,,,
2025-05-02,星期五,21:30,System,1,美盘开盘,,,,Asia/Shanghai,,2025-05-03T05:04:51.980766+00:00,,Market Open Added
2025-05-02,星期五,22:00,USD,2,美国工厂订单月率(%) (月度环比) (三月),,4.4%,0.6%,,,,,
