time,open,high,low,close,tick_volume,spread,real_volume
2025-04-28 12:00:00,1.13436,1.13587,1.13423,1.13499,3305,0,0
2025-04-28 13:00:00,1.13498,1.13602,1.13460,1.13505,2422,0,0
2025-04-28 14:00:00,1.13503,1.13562,1.13411,1.13515,2594,0,0
2025-04-28 15:00:00,1.13521,1.13728,1.13503,1.13510,3639,0,0
2025-04-28 16:00:00,1.13514,1.13741,1.13395,1.13648,4568,0,0
2025-04-28 17:00:00,1.13649,1.14137,1.13573,1.13786,5955,0,0
2025-04-28 18:00:00,1.13787,1.13923,1.13711,1.13862,4364,0,0
2025-04-28 19:00:00,1.13863,1.14223,1.13852,1.14116,3796,0,0
2025-04-28 20:00:00,1.14116,1.14192,1.14003,1.14010,3308,0,0
2025-04-28 21:00:00,1.14010,1.14140,1.14004,1.14134,2335,1,0
2025-04-28 22:00:00,1.14135,1.14248,1.14132,1.14219,1984,1,0
2025-04-28 23:00:00,1.14219,1.14249,1.14183,1.14189,1141,1,0
2025-04-29 00:00:00,1.14186,1.14213,1.14179,1.14205,255,10,0
2025-04-29 01:00:00,1.14204,1.14220,1.14120,1.14129,973,0,0
2025-04-29 02:00:00,1.14130,1.14218,1.14008,1.14077,1737,0,0
2025-04-29 03:00:00,1.14078,1.14162,1.13993,1.13998,2172,0,0
2025-04-29 04:00:00,1.13993,1.14088,1.13875,1.13925,2359,0,0
2025-04-29 05:00:00,1.13925,1.14199,1.13921,1.13983,3004,0,0
2025-04-29 06:00:00,1.13983,1.14000,1.13865,1.13905,2290,0,0
2025-04-29 07:00:00,1.13906,1.13937,1.13741,1.13781,1959,0,0
2025-04-29 08:00:00,1.13781,1.13881,1.13760,1.13870,2300,0,0
2025-04-29 09:00:00,1.13867,1.13994,1.13832,1.13895,3370,0,0
2025-04-29 10:00:00,1.13919,1.14122,1.13873,1.14036,4754,0,0
2025-04-29 11:00:00,1.14052,1.14083,1.13816,1.13854,4057,0,0
2025-04-29 12:00:00,1.13852,1.13972,1.13803,1.13803,3149,0,0
2025-04-29 13:00:00,1.13805,1.13853,1.13730,1.13779,2895,0,0
2025-04-29 14:00:00,1.13780,1.13868,1.13710,1.13745,2956,0,0
2025-04-29 15:00:00,1.13748,1.14145,1.13700,1.14105,4521,0,0
2025-04-29 16:00:00,1.14105,1.14172,1.13902,1.14005,5656,0,0
2025-04-29 17:00:00,1.13971,1.14173,1.13789,1.13831,6746,0,0
2025-04-29 18:00:00,1.13831,1.14045,1.13822,1.13960,4041,0,0
2025-04-29 19:00:00,1.13958,1.14189,1.13955,1.14033,3302,0,0
2025-04-29 20:00:00,1.14034,1.14047,1.13837,1.13860,2364,0,0
2025-04-29 21:00:00,1.13855,1.13933,1.13761,1.13824,2287,0,0
2025-04-29 22:00:00,1.13821,1.13884,1.13761,1.13817,1708,1,0
2025-04-29 23:00:00,1.13816,1.13920,1.13807,1.13835,1193,1,0
2025-04-30 00:00:00,1.13838,1.13879,1.13789,1.13849,1009,10,0
2025-04-30 01:00:00,1.13859,1.13958,1.13840,1.13917,870,0,0
2025-04-30 02:00:00,1.13926,1.13932,1.13859,1.13904,1034,0,0
2025-04-30 03:00:00,1.13903,1.13953,1.13770,1.13825,2225,0,0
2025-04-30 04:00:00,1.13826,1.13865,1.13570,1.13586,2514,0,0
2025-04-30 05:00:00,1.13585,1.13724,1.13551,1.13705,2007,0,0
2025-04-30 06:00:00,1.13705,1.13797,1.13668,1.13687,1660,0,0
2025-04-30 07:00:00,1.13688,1.13781,1.13664,1.13732,1622,0,0
2025-04-30 08:00:00,1.13733,1.13844,1.13717,1.13828,1463,0,0
2025-04-30 09:00:00,1.13828,1.13995,1.13659,1.13900,3319,0,0
2025-04-30 10:00:00,1.13899,1.13904,1.13735,1.13775,3835,0,0
2025-04-30 11:00:00,1.13780,1.13852,1.13622,1.13713,3811,0,0
2025-04-30 12:00:00,1.13718,1.13794,1.13602,1.13623,3030,0,0
2025-04-30 13:00:00,1.13624,1.13697,1.13609,1.13620,2671,0,0
2025-04-30 14:00:00,1.13619,1.13806,1.13559,1.13733,3045,0,0
2025-04-30 15:00:00,1.13733,1.13887,1.13646,1.13741,6264,0,0
2025-04-30 16:00:00,1.13734,1.13775,1.13612,1.13688,5393,0,0
2025-04-30 17:00:00,1.13688,1.13798,1.13497,1.13669,6908,0,0
2025-04-30 18:00:00,1.13669,1.13751,1.13232,1.13481,7146,0,0
2025-04-30 19:00:00,1.13488,1.13591,1.13450,1.13555,3287,0,0
2025-04-30 20:00:00,1.13556,1.13647,1.13451,1.13458,2404,0,0
2025-04-30 21:00:00,1.13458,1.13584,1.13430,1.13490,3132,1,0
2025-04-30 22:00:00,1.13486,1.13534,1.13282,1.13298,2127,1,0
2025-04-30 23:00:00,1.13298,1.13313,1.13171,1.13278,1974,1,0
2025-05-01 00:00:00,1.13267,1.13314,1.13243,1.13259,299,10,0
2025-05-01 01:00:00,1.13261,1.13302,1.13223,1.13255,1418,0,0
2025-05-01 02:00:00,1.13257,1.13263,1.13188,1.13221,1592,0,0
2025-05-01 03:00:00,1.13222,1.13294,1.13206,1.13218,2147,0,0
2025-05-01 04:00:00,1.13218,1.13222,1.13030,1.13083,1799,0,0
2025-05-01 05:00:00,1.13083,1.13161,1.13060,1.13152,1503,0,0
2025-05-01 06:00:00,1.13152,1.13186,1.12998,1.13120,2616,0,0
2025-05-01 07:00:00,1.13120,1.13142,1.13025,1.13027,1820,0,0
2025-05-01 08:00:00,1.13026,1.13065,1.12881,1.13000,2784,0,0
2025-05-01 09:00:00,1.12996,1.13125,1.12982,1.13025,3383,0,0
2025-05-01 10:00:00,1.13025,1.13106,1.12877,1.13100,3574,0,0
2025-05-01 11:00:00,1.13100,1.13308,1.13099,1.13197,2950,0,0
2025-05-01 12:00:00,1.13196,1.13249,1.13136,1.13143,2224,0,0
2025-05-01 13:00:00,1.13141,1.13342,1.13118,1.13322,2437,0,0
2025-05-01 14:00:00,1.13321,1.13410,1.13163,1.13201,2916,0,0
2025-05-01 15:00:00,1.13201,1.13388,1.13081,1.13154,4941,0,0
2025-05-01 16:00:00,1.13151,1.13276,1.13112,1.13192,4521,0,0
2025-05-01 17:00:00,1.13193,1.13193,1.12702,1.12816,6490,0,0
2025-05-01 18:00:00,1.12813,1.12901,1.12658,1.12791,4063,0,0
2025-05-01 19:00:00,1.12790,1.12921,1.12728,1.12907,2977,0,0
2025-05-01 20:00:00,1.12909,1.12913,1.12797,1.12829,1991,0,0
2025-05-01 21:00:00,1.12828,1.12934,1.12751,1.12855,2471,0,0
2025-05-01 22:00:00,1.12859,1.12922,1.12813,1.12885,1915,1,0
2025-05-01 23:00:00,1.12885,1.12940,1.12845,1.12891,1279,1,0
2025-05-02 00:00:00,1.12890,1.12890,1.12861,1.12869,252,10,0
2025-05-02 01:00:00,1.12868,1.12991,1.12868,1.12951,883,0,0
2025-05-02 02:00:00,1.12953,1.12978,1.12911,1.12958,1232,0,0
2025-05-02 03:00:00,1.12960,1.12993,1.12743,1.12822,2954,0,0
2025-05-02 04:00:00,1.12825,1.12955,1.12786,1.12955,2717,0,0
2025-05-02 05:00:00,1.12955,1.13034,1.12930,1.12940,1759,0,0
2025-05-02 06:00:00,1.12940,1.13154,1.12939,1.13127,1781,0,0
2025-05-02 07:00:00,1.13127,1.13139,1.13013,1.13041,2459,0,0
2025-05-02 08:00:00,1.13041,1.13141,1.13024,1.13078,2059,0,0
2025-05-02 09:00:00,1.13080,1.13291,1.13059,1.13258,3888,0,0
2025-05-02 10:00:00,1.13257,1.13378,1.13176,1.13282,3819,0,0
2025-05-02 11:00:00,1.13282,1.13348,1.13162,1.13321,3671,0,0
2025-05-02 12:00:00,1.13324,1.13551,1.13258,1.13503,3983,0,0
2025-05-02 13:00:00,1.13498,1.13519,1.13276,1.13311,3101,0,0
2025-05-02 14:00:00,1.13312,1.13501,1.13242,1.13464,3471,0,0
2025-05-02 15:00:00,1.13466,1.13474,1.13045,1.13298,6153,0,0
