time,open,high,low,close,tick_volume,spread,real_volume
2025-05-01 15:00:00,1.33239,1.33296,1.33182,1.33193,827,1,0
2025-05-01 15:15:00,1.33195,1.33258,1.33181,1.33251,771,1,0
2025-05-01 15:30:00,1.33249,1.33402,1.33181,1.33181,1929,1,0
2025-05-01 15:45:00,1.33181,1.33219,1.33141,1.33158,1146,1,0
2025-05-01 16:00:00,1.33156,1.33262,1.33117,1.33206,1169,1,0
2025-05-01 16:15:00,1.33206,1.33216,1.33156,1.33211,898,1,0
2025-05-01 16:30:00,1.33212,1.33228,1.33147,1.33191,1357,1,0
2025-05-01 16:45:00,1.33190,1.33271,1.33165,1.33240,1231,1,0
2025-05-01 17:00:00,1.33240,1.33262,1.33071,1.33156,2116,1,0
2025-05-01 17:15:00,1.33159,1.33170,1.33040,1.33085,1503,1,0
2025-05-01 17:30:00,1.33085,1.33090,1.32908,1.32936,1582,1,0
2025-05-01 17:45:00,1.32936,1.33000,1.32846,1.32953,1630,1,0
2025-05-01 18:00:00,1.32952,1.33008,1.32918,1.32991,1385,1,0
2025-05-01 18:15:00,1.32991,1.33009,1.32856,1.32886,1128,1,0
2025-05-01 18:30:00,1.32886,1.32902,1.32749,1.32749,866,1,0
2025-05-01 18:45:00,1.32749,1.32753,1.32646,1.32725,1063,1,0
2025-05-01 19:00:00,1.32722,1.32726,1.32619,1.32684,993,1,0
2025-05-01 19:15:00,1.32684,1.32743,1.32641,1.32719,874,1,0
2025-05-01 19:30:00,1.32719,1.32759,1.32708,1.32728,632,1,0
2025-05-01 19:45:00,1.32728,1.32840,1.32726,1.32805,627,1,0
2025-05-01 20:00:00,1.32806,1.32807,1.32719,1.32788,542,1,0
2025-05-01 20:15:00,1.32788,1.32799,1.32696,1.32704,571,1,0
2025-05-01 20:30:00,1.32705,1.32710,1.32653,1.32664,509,1,0
2025-05-01 20:45:00,1.32664,1.32713,1.32635,1.32664,499,1,0
2025-05-01 21:00:00,1.32664,1.32744,1.32602,1.32735,562,2,0
2025-05-01 21:15:00,1.32735,1.32757,1.32656,1.32694,683,2,0
2025-05-01 21:30:00,1.32694,1.32819,1.32687,1.32811,697,2,0
2025-05-01 21:45:00,1.32811,1.32866,1.32746,1.32774,641,2,0
2025-05-01 22:00:00,1.32775,1.32827,1.32763,1.32808,609,2,0
2025-05-01 22:15:00,1.32808,1.32836,1.32786,1.32830,555,2,0
2025-05-01 22:30:00,1.32830,1.32846,1.32798,1.32818,541,2,0
2025-05-01 22:45:00,1.32818,1.32840,1.32785,1.32789,427,2,0
2025-05-01 23:00:00,1.32789,1.32842,1.32787,1.32834,488,2,0
2025-05-01 23:15:00,1.32834,1.32836,1.32744,1.32757,259,2,0
2025-05-01 23:30:00,1.32756,1.32795,1.32741,1.32792,272,2,0
2025-05-01 23:45:00,1.32794,1.32813,1.32767,1.32767,295,2,0
2025-05-02 00:00:00,1.32756,1.32846,1.32728,1.32846,36,40,0
2025-05-02 00:15:00,1.32846,1.32869,1.32775,1.32778,162,40,0
2025-05-02 00:30:00,1.32773,1.32836,1.32757,1.32814,175,40,0
2025-05-02 00:45:00,1.32814,1.32825,1.32733,1.32733,191,18,0
2025-05-02 01:00:00,1.32740,1.32822,1.32736,1.32784,267,1,0
2025-05-02 01:15:00,1.32784,1.32841,1.32784,1.32824,457,1,0
2025-05-02 01:30:00,1.32825,1.32859,1.32819,1.32845,365,1,0
2025-05-02 01:45:00,1.32845,1.32856,1.32812,1.32843,156,1,0
2025-05-02 02:00:00,1.32844,1.32844,1.32805,1.32821,300,1,0
2025-05-02 02:15:00,1.32820,1.32845,1.32813,1.32838,198,1,0
2025-05-02 02:30:00,1.32838,1.32838,1.32802,1.32825,231,1,0
2025-05-02 02:45:00,1.32825,1.32866,1.32821,1.32856,380,1,0
2025-05-02 03:00:00,1.32856,1.32898,1.32796,1.32797,585,1,0
2025-05-02 03:15:00,1.32797,1.32821,1.32769,1.32806,771,1,0
2025-05-02 03:30:00,1.32806,1.32819,1.32755,1.32764,793,1,0
2025-05-02 03:45:00,1.32765,1.32797,1.32738,1.32789,749,1,0
2025-05-02 04:00:00,1.32792,1.32836,1.32775,1.32836,895,1,0
2025-05-02 04:15:00,1.32836,1.32851,1.32796,1.32804,724,1,0
2025-05-02 04:30:00,1.32801,1.32819,1.32756,1.32807,741,1,0
2025-05-02 04:45:00,1.32807,1.32899,1.32805,1.32899,590,1,0
2025-05-02 05:00:00,1.32899,1.32961,1.32898,1.32938,559,1,0
2025-05-02 05:15:00,1.32938,1.32998,1.32921,1.32975,474,1,0
2025-05-02 05:30:00,1.32974,1.32977,1.32910,1.32958,445,1,0
2025-05-02 05:45:00,1.32958,1.32968,1.32918,1.32926,315,1,0
2025-05-02 06:00:00,1.32926,1.32940,1.32904,1.32915,359,1,0
2025-05-02 06:15:00,1.32915,1.33031,1.32905,1.33016,446,1,0
2025-05-02 06:30:00,1.33016,1.33093,1.33012,1.33079,556,1,0
2025-05-02 06:45:00,1.33074,1.33103,1.33041,1.33099,366,1,0
2025-05-02 07:00:00,1.33099,1.33107,1.33041,1.33059,703,1,0
2025-05-02 07:15:00,1.33059,1.33135,1.33042,1.33107,604,1,0
2025-05-02 07:30:00,1.33107,1.33109,1.33065,1.33074,556,1,0
2025-05-02 07:45:00,1.33074,1.33086,1.33046,1.33079,365,1,0
2025-05-02 08:00:00,1.33079,1.33137,1.33052,1.33120,511,1,0
2025-05-02 08:15:00,1.33120,1.33171,1.33102,1.33170,359,1,0
2025-05-02 08:30:00,1.33169,1.33196,1.33159,1.33181,436,1,0
2025-05-02 08:45:00,1.33181,1.33218,1.33112,1.33124,620,1,0
2025-05-02 09:00:00,1.33119,1.33170,1.33086,1.33093,947,1,0
2025-05-02 09:15:00,1.33094,1.33213,1.33093,1.33179,881,1,0
2025-05-02 09:30:00,1.33177,1.33203,1.33075,1.33095,800,1,0
2025-05-02 09:45:00,1.33095,1.33161,1.33071,1.33118,799,1,0
2025-05-02 10:00:00,1.33118,1.33189,1.33082,1.33144,1136,1,0
2025-05-02 10:15:00,1.33144,1.33171,1.33032,1.33045,872,1,0
2025-05-02 10:30:00,1.33045,1.33088,1.32994,1.33050,943,1,0
2025-05-02 10:45:00,1.33054,1.33088,1.32984,1.32991,917,1,0
2025-05-02 11:00:00,1.32990,1.32992,1.32849,1.32865,1040,1,0
2025-05-02 11:15:00,1.32865,1.32920,1.32863,1.32892,942,1,0
2025-05-02 11:30:00,1.32892,1.32915,1.32823,1.32896,806,1,0
2025-05-02 11:45:00,1.32896,1.32945,1.32878,1.32912,800,1,0
2025-05-02 12:00:00,1.32910,1.32927,1.32859,1.32890,845,1,0
2025-05-02 12:15:00,1.32890,1.32923,1.32859,1.32918,751,1,0
2025-05-02 12:30:00,1.32918,1.33120,1.32907,1.33100,1145,1,0
2025-05-02 12:45:00,1.33100,1.33156,1.33075,1.33103,925,1,0
2025-05-02 13:00:00,1.33104,1.33108,1.33041,1.33086,876,1,0
2025-05-02 13:15:00,1.33086,1.33095,1.33043,1.33055,642,1,0
2025-05-02 13:30:00,1.33055,1.33070,1.32933,1.32933,640,1,0
2025-05-02 13:45:00,1.32933,1.32936,1.32873,1.32897,619,1,0
2025-05-02 14:00:00,1.32898,1.32945,1.32882,1.32907,807,1,0
2025-05-02 14:15:00,1.32907,1.32964,1.32905,1.32956,698,1,0
2025-05-02 14:30:00,1.32956,1.33072,1.32948,1.32984,779,1,0
2025-05-02 14:45:00,1.32984,1.32984,1.32862,1.32940,985,1,0
2025-05-02 15:00:00,1.32943,1.32985,1.32899,1.32914,942,1,0
2025-05-02 15:15:00,1.32913,1.32915,1.32825,1.32904,982,1,0
2025-05-02 15:30:00,1.32879,1.32936,1.32601,1.32883,3027,1,0
2025-05-02 15:45:00,1.32882,1.32978,1.32808,1.32854,1291,1,0
