time,open,high,low,close,tick_volume,spread,real_volume
2025-04-28 12:00:00,0.59382,0.59583,0.59373,0.59518,1849,3,0
2025-04-28 13:00:00,0.59522,0.59562,0.59473,0.59488,1562,3,0
2025-04-28 14:00:00,0.59487,0.59514,0.59441,0.59464,1774,3,0
2025-04-28 15:00:00,0.59467,0.59586,0.59459,0.59477,2237,3,0
2025-04-28 16:00:00,0.59478,0.59651,0.59466,0.59595,2828,3,0
2025-04-28 17:00:00,0.59595,0.59821,0.59571,0.59775,3411,3,0
2025-04-28 18:00:00,0.59774,0.59792,0.59612,0.59631,2864,3,0
2025-04-28 19:00:00,0.59631,0.59709,0.59622,0.59687,2136,3,0
2025-04-28 20:00:00,0.59688,0.59688,0.59617,0.59624,2088,3,0
2025-04-28 21:00:00,0.59623,0.59700,0.59618,0.59674,1503,6,0
2025-04-28 22:00:00,0.59673,0.59802,0.59666,0.59780,1487,6,0
2025-04-28 23:00:00,0.59781,0.59789,0.59755,0.59771,738,6,0
2025-04-29 00:00:00,0.59737,0.59780,0.59712,0.59751,321,40,0
2025-04-29 01:00:00,0.59751,0.59799,0.59718,0.59743,865,3,0
2025-04-29 02:00:00,0.59741,0.59769,0.59693,0.59705,1462,3,0
2025-04-29 03:00:00,0.59705,0.59706,0.59594,0.59619,1940,3,0
2025-04-29 04:00:00,0.59619,0.59666,0.59601,0.59652,1965,3,0
2025-04-29 05:00:00,0.59652,0.59865,0.59614,0.59619,2537,3,0
2025-04-29 06:00:00,0.59619,0.59621,0.59504,0.59539,2010,3,0
2025-04-29 07:00:00,0.59539,0.59565,0.59464,0.59503,1290,3,0
2025-04-29 08:00:00,0.59503,0.59546,0.59478,0.59546,1519,3,0
2025-04-29 09:00:00,0.59543,0.59691,0.59538,0.59626,2101,3,0
2025-04-29 10:00:00,0.59628,0.59774,0.59600,0.59765,2651,3,0
2025-04-29 11:00:00,0.59766,0.59785,0.59652,0.59667,2188,3,0
2025-04-29 12:00:00,0.59665,0.59685,0.59566,0.59568,1782,3,0
2025-04-29 13:00:00,0.59570,0.59610,0.59485,0.59487,1660,3,0
2025-04-29 14:00:00,0.59487,0.59548,0.59479,0.59498,1628,3,0
2025-04-29 15:00:00,0.59503,0.59600,0.59499,0.59563,2045,3,0
2025-04-29 16:00:00,0.59564,0.59570,0.59346,0.59376,3430,3,0
2025-04-29 17:00:00,0.59416,0.59428,0.59265,0.59318,3646,3,0
2025-04-29 18:00:00,0.59318,0.59447,0.59312,0.59385,2283,3,0
2025-04-29 19:00:00,0.59383,0.59499,0.59382,0.59423,1978,3,0
2025-04-29 20:00:00,0.59420,0.59467,0.59380,0.59432,1581,3,0
2025-04-29 21:00:00,0.59431,0.59442,0.59353,0.59390,1558,6,0
2025-04-29 22:00:00,0.59383,0.59435,0.59342,0.59373,1135,6,0
2025-04-29 23:00:00,0.59371,0.59400,0.59269,0.59291,755,6,0
2025-04-30 00:00:00,0.59291,0.59455,0.59279,0.59289,747,40,0
2025-04-30 01:00:00,0.59289,0.59354,0.59279,0.59321,923,3,0
2025-04-30 02:00:00,0.59325,0.59392,0.59310,0.59383,896,3,0
2025-04-30 03:00:00,0.59383,0.59393,0.59272,0.59292,1613,3,0
2025-04-30 04:00:00,0.59291,0.59429,0.59268,0.59295,2414,3,0
2025-04-30 05:00:00,0.59294,0.59362,0.59239,0.59276,1712,3,0
2025-04-30 06:00:00,0.59276,0.59321,0.59236,0.59302,1420,3,0
2025-04-30 07:00:00,0.59301,0.59365,0.59288,0.59337,1200,3,0
2025-04-30 08:00:00,0.59337,0.59446,0.59322,0.59438,1033,3,0
2025-04-30 09:00:00,0.59438,0.59496,0.59360,0.59384,1970,3,0
2025-04-30 10:00:00,0.59384,0.59386,0.59181,0.59244,2198,3,0
2025-04-30 11:00:00,0.59244,0.59281,0.59166,0.59190,2206,3,0
2025-04-30 12:00:00,0.59190,0.59286,0.59190,0.59254,1713,3,0
2025-04-30 13:00:00,0.59254,0.59268,0.59169,0.59202,1541,3,0
2025-04-30 14:00:00,0.59201,0.59245,0.59160,0.59213,1556,3,0
2025-04-30 15:00:00,0.59212,0.59239,0.59025,0.59104,3816,3,0
2025-04-30 16:00:00,0.59104,0.59166,0.59022,0.59042,3592,3,0
2025-04-30 17:00:00,0.59040,0.59379,0.58983,0.59340,4268,3,0
2025-04-30 18:00:00,0.59337,0.59368,0.59233,0.59315,3465,3,0
2025-04-30 19:00:00,0.59316,0.59340,0.59273,0.59311,2020,3,0
2025-04-30 20:00:00,0.59311,0.59400,0.59304,0.59332,1692,3,0
2025-04-30 21:00:00,0.59332,0.59458,0.59319,0.59378,2435,6,0
2025-04-30 22:00:00,0.59375,0.59461,0.59370,0.59392,1658,6,0
2025-04-30 23:00:00,0.59396,0.59409,0.59317,0.59331,1369,6,0
2025-05-01 00:00:00,0.59338,0.59375,0.59282,0.59339,860,40,0
2025-05-01 01:00:00,0.59347,0.59408,0.59336,0.59374,1120,3,0
2025-05-01 02:00:00,0.59379,0.59409,0.59312,0.59357,1088,3,0
2025-05-01 03:00:00,0.59356,0.59446,0.59351,0.59443,1727,3,0
2025-05-01 04:00:00,0.59444,0.59447,0.59331,0.59353,1612,3,0
2025-05-01 05:00:00,0.59354,0.59511,0.59347,0.59468,1411,3,0
2025-05-01 06:00:00,0.59466,0.59474,0.59343,0.59424,2148,3,0
2025-05-01 07:00:00,0.59424,0.59449,0.59368,0.59410,1439,3,0
2025-05-01 08:00:00,0.59411,0.59419,0.59240,0.59279,1704,3,0
2025-05-01 09:00:00,0.59277,0.59376,0.59262,0.59334,2076,3,0
2025-05-01 10:00:00,0.59331,0.59332,0.59226,0.59245,2373,3,0
2025-05-01 11:00:00,0.59243,0.59340,0.59233,0.59278,1790,3,0
2025-05-01 12:00:00,0.59278,0.59329,0.59157,0.59165,1351,3,0
2025-05-01 13:00:00,0.59165,0.59301,0.59127,0.59299,1554,3,0
2025-05-01 14:00:00,0.59299,0.59331,0.59226,0.59244,1711,3,0
2025-05-01 15:00:00,0.59244,0.59278,0.59154,0.59171,2860,3,0
2025-05-01 16:00:00,0.59169,0.59250,0.59139,0.59164,2851,3,0
2025-05-01 17:00:00,0.59164,0.59220,0.59042,0.59082,4173,3,0
2025-05-01 18:00:00,0.59082,0.59157,0.58946,0.58992,2815,3,0
2025-05-01 19:00:00,0.58991,0.59033,0.58935,0.59027,1805,3,0
2025-05-01 20:00:00,0.59026,0.59062,0.58973,0.58994,1380,3,0
2025-05-01 21:00:00,0.58994,0.59139,0.58958,0.59069,1852,6,0
2025-05-01 22:00:00,0.59068,0.59121,0.59053,0.59074,1270,6,0
2025-05-01 23:00:00,0.59073,0.59089,0.59033,0.59052,851,6,0
2025-05-02 00:00:00,0.59049,0.59097,0.59011,0.59047,460,40,0
2025-05-02 01:00:00,0.59060,0.59089,0.59042,0.59056,883,3,0
2025-05-02 02:00:00,0.59058,0.59149,0.59034,0.59121,824,3,0
2025-05-02 03:00:00,0.59124,0.59247,0.59073,0.59238,3049,3,0
2025-05-02 04:00:00,0.59243,0.59268,0.59162,0.59228,2434,3,0
2025-05-02 05:00:00,0.59228,0.59312,0.59228,0.59257,1578,3,0
2025-05-02 06:00:00,0.59257,0.59356,0.59228,0.59320,1856,3,0
2025-05-02 07:00:00,0.59319,0.59370,0.59218,0.59318,2113,3,0
2025-05-02 08:00:00,0.59319,0.59362,0.59282,0.59316,1389,3,0
2025-05-02 09:00:00,0.59316,0.59381,0.59229,0.59332,2452,3,0
2025-05-02 10:00:00,0.59332,0.59413,0.59207,0.59207,2182,3,0
2025-05-02 11:00:00,0.59207,0.59252,0.59139,0.59248,1883,3,0
2025-05-02 12:00:00,0.59248,0.59487,0.59211,0.59437,2713,3,0
2025-05-02 13:00:00,0.59439,0.59443,0.59342,0.59386,1960,3,0
2025-05-02 14:00:00,0.59386,0.59464,0.59377,0.59410,1825,3,0
2025-05-02 15:00:00,0.59410,0.59568,0.59309,0.59512,3571,3,0
