time,open,high,low,close,tick_volume,spread,real_volume
2025-05-02 14:15:00,0.82456,0.82463,0.82448,0.82448,25,3,0
2025-05-02 14:16:00,0.82448,0.82457,0.82444,0.82457,29,4,0
2025-05-02 14:17:00,0.82457,0.82465,0.82447,0.82449,42,3,0
2025-05-02 14:18:00,0.82450,0.82458,0.82446,0.82447,40,4,0
2025-05-02 14:19:00,0.82447,0.82453,0.82442,0.82443,46,3,0
2025-05-02 14:20:00,0.82449,0.82460,0.82437,0.82437,44,4,0
2025-05-02 14:21:00,0.82437,0.82440,0.82421,0.82421,43,2,0
2025-05-02 14:22:00,0.82422,0.82422,0.82399,0.82406,44,3,0
2025-05-02 14:23:00,0.82406,0.82408,0.82379,0.82379,55,2,0
2025-05-02 14:24:00,0.82379,0.82398,0.82377,0.82389,48,3,0
2025-05-02 14:25:00,0.82389,0.82389,0.82381,0.82382,56,4,0
2025-05-02 14:26:00,0.82382,0.82388,0.82375,0.82382,44,1,0
2025-05-02 14:27:00,0.82382,0.82402,0.82376,0.82378,47,3,0
2025-05-02 14:28:00,0.82378,0.82392,0.82377,0.82386,33,5,0
2025-05-02 14:29:00,0.82386,0.82387,0.82368,0.82384,46,3,0
2025-05-02 14:30:00,0.82385,0.82386,0.82368,0.82371,43,3,0
2025-05-02 14:31:00,0.82372,0.82380,0.82365,0.82371,51,2,0
2025-05-02 14:32:00,0.82371,0.82382,0.82366,0.82378,42,2,0
2025-05-02 14:33:00,0.82379,0.82383,0.82379,0.82382,29,2,0
2025-05-02 14:34:00,0.82381,0.82384,0.82376,0.82378,23,3,0
2025-05-02 14:35:00,0.82378,0.82387,0.82327,0.82327,81,3,0
2025-05-02 14:36:00,0.82329,0.82329,0.82316,0.82317,33,1,0
2025-05-02 14:37:00,0.82317,0.82329,0.82313,0.82314,49,3,0
2025-05-02 14:38:00,0.82318,0.82323,0.82314,0.82319,45,3,0
2025-05-02 14:39:00,0.82319,0.82320,0.82283,0.82285,70,2,0
2025-05-02 14:40:00,0.82285,0.82321,0.82285,0.82304,73,1,0
2025-05-02 14:41:00,0.82304,0.82336,0.82293,0.82332,41,2,0
2025-05-02 14:42:00,0.82332,0.82364,0.82332,0.82364,44,1,0
2025-05-02 14:43:00,0.82363,0.82376,0.82346,0.82372,50,1,0
2025-05-02 14:44:00,0.82373,0.82377,0.82353,0.82362,43,1,0
2025-05-02 14:45:00,0.82362,0.82396,0.82362,0.82396,60,2,0
2025-05-02 14:46:00,0.82396,0.82396,0.82373,0.82390,36,1,0
2025-05-02 14:47:00,0.82398,0.82404,0.82373,0.82376,46,3,0
2025-05-02 14:48:00,0.82377,0.82386,0.82361,0.82362,54,2,0
2025-05-02 14:49:00,0.82362,0.82403,0.82349,0.82400,60,1,0
2025-05-02 14:50:00,0.82400,0.82411,0.82393,0.82411,82,2,0
2025-05-02 14:51:00,0.82410,0.82411,0.82395,0.82396,58,3,0
2025-05-02 14:52:00,0.82396,0.82398,0.82380,0.82389,57,1,0
2025-05-02 14:53:00,0.82390,0.82400,0.82380,0.82394,51,2,0
2025-05-02 14:54:00,0.82394,0.82395,0.82369,0.82372,48,2,0
2025-05-02 14:55:00,0.82371,0.82380,0.82367,0.82373,58,2,0
2025-05-02 14:56:00,0.82374,0.82384,0.82357,0.82364,69,2,0
2025-05-02 14:57:00,0.82364,0.82368,0.82349,0.82361,89,1,0
2025-05-02 14:58:00,0.82361,0.82364,0.82330,0.82330,73,1,0
2025-05-02 14:59:00,0.82330,0.82348,0.82320,0.82346,40,2,0
2025-05-02 15:00:00,0.82346,0.82359,0.82335,0.82344,74,1,0
2025-05-02 15:01:00,0.82344,0.82371,0.82344,0.82361,46,1,0
2025-05-02 15:02:00,0.82361,0.82390,0.82355,0.82390,58,1,0
2025-05-02 15:03:00,0.82391,0.82395,0.82375,0.82392,55,1,0
2025-05-02 15:04:00,0.82392,0.82406,0.82381,0.82399,52,3,0
2025-05-02 15:05:00,0.82402,0.82406,0.82363,0.82365,60,2,0
2025-05-02 15:06:00,0.82366,0.82375,0.82364,0.82372,50,2,0
2025-05-02 15:07:00,0.82372,0.82390,0.82370,0.82371,48,1,0
2025-05-02 15:08:00,0.82371,0.82379,0.82357,0.82360,76,1,0
2025-05-02 15:09:00,0.82360,0.82373,0.82354,0.82369,39,2,0
2025-05-02 15:10:00,0.82369,0.82390,0.82368,0.82387,52,1,0
2025-05-02 15:11:00,0.82387,0.82398,0.82382,0.82389,31,1,0
2025-05-02 15:12:00,0.82389,0.82404,0.82383,0.82396,49,4,0
2025-05-02 15:13:00,0.82396,0.82416,0.82396,0.82407,62,2,0
2025-05-02 15:14:00,0.82408,0.82421,0.82399,0.82413,64,3,0
2025-05-02 15:15:00,0.82410,0.82425,0.82401,0.82425,56,3,0
2025-05-02 15:16:00,0.82425,0.82433,0.82413,0.82428,52,1,0
2025-05-02 15:17:00,0.82428,0.82431,0.82419,0.82419,55,1,0
2025-05-02 15:18:00,0.82419,0.82419,0.82399,0.82401,28,1,0
2025-05-02 15:19:00,0.82400,0.82425,0.82390,0.82421,74,1,0
2025-05-02 15:20:00,0.82420,0.82431,0.82413,0.82414,86,1,0
2025-05-02 15:21:00,0.82413,0.82436,0.82413,0.82432,74,2,0
2025-05-02 15:22:00,0.82433,0.82447,0.82420,0.82422,85,4,0
2025-05-02 15:23:00,0.82421,0.82437,0.82414,0.82434,54,2,0
2025-05-02 15:24:00,0.82435,0.82447,0.82428,0.82446,59,1,0
2025-05-02 15:25:00,0.82445,0.82473,0.82440,0.82473,68,2,0
2025-05-02 15:26:00,0.82473,0.82487,0.82449,0.82449,58,2,0
2025-05-02 15:27:00,0.82449,0.82452,0.82433,0.82434,50,2,0
2025-05-02 15:28:00,0.82435,0.82456,0.82428,0.82445,113,1,0
2025-05-02 15:29:00,0.82444,0.82458,0.82432,0.82443,152,4,0
2025-05-02 15:30:00,0.82446,0.82699,0.82443,0.82699,239,3,0
