time,open,high,low,close,tick_volume,spread,real_volume
2025-05-02 07:35:00,59.32800,59.38600,59.32300,59.36200,85,23,0
2025-05-02 07:40:00,59.35900,59.36500,59.32600,59.36300,41,23,0
2025-05-02 07:45:00,59.36400,59.37300,59.34900,59.36400,57,23,0
2025-05-02 07:50:00,59.36600,59.40700,59.36600,59.37900,49,23,0
2025-05-02 07:55:00,59.37800,59.38300,59.36300,59.36600,28,23,0
2025-05-02 08:00:00,59.36500,59.38100,59.34600,59.37100,76,23,0
2025-05-02 08:05:00,59.36500,59.36700,59.30400,59.30500,78,23,0
2025-05-02 08:10:00,59.31000,59.32000,59.23900,59.26800,62,23,0
2025-05-02 08:15:00,59.27000,59.28400,59.25300,59.27500,70,23,0
2025-05-02 08:20:00,59.27400,59.30200,59.24700,59.28500,72,23,0
2025-05-02 08:25:00,59.28600,59.28600,59.21300,59.25200,70,23,0
2025-05-02 08:30:00,59.25300,59.34300,59.25300,59.33300,68,23,0
2025-05-02 08:35:00,59.33200,59.33200,59.25800,59.27400,85,23,0
2025-05-02 08:40:00,59.28200,59.28400,59.19900,59.21800,63,23,0
2025-05-02 08:45:00,59.21800,59.23700,59.20300,59.20400,55,23,0
2025-05-02 08:50:00,59.19500,59.22500,59.18700,59.21800,50,23,0
2025-05-02 08:55:00,59.22900,59.25200,59.20300,59.20300,63,23,0
2025-05-02 09:00:00,59.19800,59.27200,59.14400,59.21300,141,23,0
2025-05-02 09:05:00,59.21100,59.29100,59.21100,59.28300,113,23,0
2025-05-02 09:10:00,59.28600,59.34900,59.27800,59.31700,97,23,0
2025-05-02 09:15:00,59.31900,59.36900,59.30900,59.35200,112,23,0
2025-05-02 09:20:00,59.35800,59.37500,59.34300,59.36100,88,23,0
2025-05-02 09:25:00,59.36300,59.36600,59.33500,59.36600,78,23,0
2025-05-02 09:30:00,59.37100,59.39100,59.34300,59.35200,103,23,0
2025-05-02 09:35:00,59.35000,59.36600,59.32400,59.32600,81,23,0
2025-05-02 09:40:00,59.32000,59.33800,59.25800,59.26000,84,23,0
2025-05-02 09:45:00,59.27000,59.30400,59.14100,59.14700,122,23,0
2025-05-02 09:50:00,59.14500,59.14600,59.05000,59.06500,117,23,0
2025-05-02 09:55:00,59.06700,59.06700,59.00200,59.03300,127,23,0
2025-05-02 10:00:00,59.03800,59.20100,59.01000,59.06600,307,23,0
2025-05-02 10:05:00,59.05900,59.09200,59.02000,59.06800,196,23,0
2025-05-02 10:10:00,59.05700,59.09700,58.95700,58.97700,226,23,0
2025-05-02 10:15:00,58.98000,59.00300,58.88200,58.93500,200,23,0
2025-05-02 10:20:00,58.94300,59.06700,58.94200,58.99500,219,23,0
2025-05-02 10:25:00,58.99400,59.12600,58.99400,59.10300,195,23,0
2025-05-02 10:30:00,59.10700,59.18200,59.06700,59.16400,203,23,0
2025-05-02 10:35:00,59.15900,59.18300,58.99300,59.01100,208,23,0
2025-05-02 10:40:00,59.00800,59.04600,58.99500,59.03000,137,23,0
2025-05-02 10:45:00,59.02800,59.08900,58.95800,58.96200,165,23,0
2025-05-02 10:50:00,58.96700,58.99500,58.86000,58.91100,240,23,0
2025-05-02 10:55:00,58.90700,58.93400,58.86500,58.86500,203,23,0
2025-05-02 11:00:00,58.91500,59.04800,58.82500,59.04400,316,23,0
2025-05-02 11:05:00,59.04500,59.12100,59.04100,59.06800,274,23,0
2025-05-02 11:10:00,59.06700,59.14200,59.04600,59.06100,231,23,0
2025-05-02 11:15:00,59.06500,59.11400,58.92900,58.93000,248,23,0
2025-05-02 11:20:00,58.92900,58.94800,58.83600,58.93300,254,23,0
2025-05-02 11:25:00,58.93400,58.96300,58.82900,58.85800,410,23,0
2025-05-02 11:30:00,58.85100,58.88400,58.70800,58.72300,406,23,0
2025-05-02 11:35:00,58.72200,58.82500,58.69500,58.82300,240,23,0
2025-05-02 11:40:00,58.82200,58.85700,58.74600,58.75300,223,23,0
2025-05-02 11:45:00,58.73200,58.80600,58.66200,58.67600,191,23,0
2025-05-02 11:50:00,58.69000,58.75200,58.62100,58.65400,225,23,0
2025-05-02 11:55:00,58.64800,58.67100,58.52500,58.54600,280,23,0
2025-05-02 12:00:00,58.54800,58.70200,58.54200,58.62100,318,23,0
2025-05-02 12:05:00,58.62400,58.68000,58.61900,58.65400,199,23,0
2025-05-02 12:10:00,58.63100,58.69400,58.60800,58.66200,197,23,0
2025-05-02 12:15:00,58.66100,58.66100,58.45700,58.47100,247,23,0
2025-05-02 12:20:00,58.47500,58.50400,58.41800,58.46300,193,23,0
2025-05-02 12:25:00,58.46100,58.53800,58.43300,58.47800,224,23,0
2025-05-02 12:30:00,58.47900,58.59900,58.47100,58.58000,273,23,0
2025-05-02 12:35:00,58.57300,58.58300,58.52000,58.54200,153,23,0
2025-05-02 12:40:00,58.54300,58.59200,58.43800,58.45200,258,23,0
2025-05-02 12:45:00,58.44400,58.44900,58.38600,58.41800,243,23,0
2025-05-02 12:50:00,58.41500,58.57200,58.40800,58.55000,208,23,0
2025-05-02 12:55:00,58.54500,58.61000,58.54300,58.57600,206,23,0
2025-05-02 13:00:00,58.57700,58.63500,58.55200,58.62300,233,23,0
2025-05-02 13:05:00,58.62400,58.68900,58.61400,58.66200,227,23,0
2025-05-02 13:10:00,58.67000,58.67000,58.59400,58.62800,153,23,0
2025-05-02 13:15:00,58.62300,58.72500,58.56100,58.56700,216,23,0
2025-05-02 13:20:00,58.56400,58.58400,58.48900,58.49000,168,23,0
2025-05-02 13:25:00,58.49100,58.52800,58.46700,58.50000,171,23,0
2025-05-02 13:30:00,58.49800,58.56400,58.48700,58.56300,170,23,0
2025-05-02 13:35:00,58.56400,58.63500,58.51500,58.56500,216,23,0
2025-05-02 13:40:00,58.56300,58.65000,58.54500,58.64600,207,23,0
2025-05-02 13:45:00,58.64500,58.71900,58.60700,58.60800,198,23,0
2025-05-02 13:50:00,58.60600,58.72900,58.60000,58.70000,163,23,0
2025-05-02 13:55:00,58.70100,58.70600,58.62900,58.65700,123,23,0
2025-05-02 14:00:00,58.65500,58.68000,58.63400,58.67400,169,23,0
2025-05-02 14:05:00,58.68800,58.69100,58.59500,58.63500,162,23,0
2025-05-02 14:10:00,58.63700,58.67700,58.63400,58.67100,105,23,0
2025-05-02 14:15:00,58.67600,58.89500,58.67500,58.88100,257,23,0
2025-05-02 14:20:00,58.88300,58.89800,58.54200,58.54700,258,23,0
2025-05-02 14:25:00,58.51700,58.54900,58.41700,58.44500,288,23,0
2025-05-02 14:30:00,58.44700,58.46600,58.33000,58.37800,240,23,0
2025-05-02 14:35:00,58.37700,58.37700,58.24800,58.31400,345,23,0
2025-05-02 14:40:00,58.31400,58.41800,58.31400,58.37700,203,23,0
2025-05-02 14:45:00,58.37200,58.51800,58.37100,58.51600,260,23,0
2025-05-02 14:50:00,58.51700,58.54000,58.33000,58.35000,233,23,0
2025-05-02 14:55:00,58.34400,58.40100,58.32000,58.35100,226,23,0
2025-05-02 15:00:00,58.34200,58.35400,58.22200,58.27400,277,23,0
